"itemid","adid","level"
"IEVU6","DKKYC","silver"
"O3FA4","0VN1Q","platinum"
"GBXRH","PU0DA","platinum"
"8PX7U","PVPVQ","silver"
"F4D56","6GE8P","platinum"
"IUVAF","XA13H","platinum"
"88VSC","O8P6K","other"
"5C78L","RL4GH","other"
"FEOCH","J7X67","silver"
"0LZIC","YHIW4","platinum"
"SUMZL","7CCL0","platinum"
"MN4E1","0KZER","platinum"
"ZVDC2","N3L5O","gold"
"5ZGDH","NCRC9","gold"
"6L094","M27NH","silver"
"0CSWD","PKG0W","other"
"UDROS","SJDA8","gold"
"08CXH","3D0SZ","platinum"
"B4WGO","CGI9S","other"
"Q9PZU","W2TEO","other"
"3LTZ6","VRZI0","other"
"3ZCRU","SPTMC","platinum"
"LR5HD","AGGMH","gold"
"GP13P","IIIOW","other"
"M7W3L","2W2XI","silver"
"VEUWA","6A4NL","other"
"A884E","8CEGS","silver"
"ZOF3P","8F0GK","other"
"H1BUL","XH1CH","other"
"CTO6D","5K0FR","silver"
"U6SD3","V8VR5","platinum"
"AT86G","M5EER","platinum"
"AFXTC","4WPFU","other"
"BVRVO","V8M5I","silver"
"Y9K0O","HNY3J","other"
"T05UK","ABNJP","silver"
"RG4YT","M2S46","other"
"HVQNB","TPYFK","gold"
"SR0SZ","VFABI","other"
"CIZ9R","M62GF","platinum"
"9Y0AS","S3K0Q","gold"
"2T84X","SIIKY","gold"
"2LVHD","GZU87","gold"
"HT61B","C6A9W","silver"
"NKVYU","4BF6S","gold"
"2A9Y6","2KPA5","gold"
"I75TY","V2JHG","platinum"
"HNTRA","0ID00","platinum"
"8XX3H","XLFDI","platinum"
"EJOSY","O8LQM","gold"
"TRUAN","G8VNN","gold"
"3ZCRU","SHUWF","platinum"
"X920E","6PQRU","other"
"HZIBN","0DIS4","gold"
"NT1N2","8EHP5","gold"
"GH9JK","YMU05","other"
"JHAMI","H2J99","gold"
"Q4HF2","RB5GW","gold"
"DP3EN","IDNCL","gold"
"5S9UH","N227N","gold"
"EDDNH","9BPYB","platinum"
"9O6WN","LSXOD","other"
"AOK6V","3P6VU","silver"
"31SE6","GB2DV","gold"
"RAYAM","NILG9","gold"
"WOSYA","WSIRQ","gold"
"MB7GL","Y3UJL","platinum"
"KY3KK","RFLBJ","silver"
"50FCE","LX7DP","other"
"OIEQM","D4D9P","silver"
"OHYJM","IVTO2","gold"
"VIZLC","Q2VY0","silver"
"CRABF","PGEIQ","other"
"NPEC1","HKIAK","gold"
"HLH8X","9S73Z","gold"
"HXO0J","ON411","silver"
"EBNSI","7BZYJ","silver"
"8W083","ENX1I","platinum"
"IXZI0","4DVE5","gold"
"I4PEW","Z9GOG","silver"
"3IG9B","7S0TQ","platinum"
"C27CW","UHUVZ","platinum"
"WW0H1","LWK9C","silver"
"4L03F","078AZ","platinum"
"XJ88C","G5NXS","gold"
"CZ2PH","YCBYD","platinum"
"2G64D","H3VK2","silver"
"IOTNG","F4BCT","platinum"
"JGRUB","HYS5H","silver"
"E5V7Z","UDGB5","platinum"
"AAW8F","V0PBP","platinum"
"RGTHN","4V7LU","platinum"
"SADP6","VDBVB","other"
"UEMJP","8167S","gold"
"JS23E","F1B7R","gold"
"VL2CW","OCVBQ","other"
"38Y9J","0QB5R","other"
"CLAVN","5Z068","platinum"
"CBRBH","4WWLW","platinum"
"GZEHZ","HBWJX","silver"
"VDPBY","325B6","gold"
"NUH8C","0B8XT","silver"
"16XZX","DTJR5","silver"
"X3O4G","OCA96","silver"
"S92GG","92099","platinum"
"R9TLZ","1AO0B","platinum"
"DF4GM","V5H96","platinum"
"5R6A9","3UVH5","platinum"
"G9M7N","JCA9B","gold"
"WASXQ","2X66S","other"
"M7PV5","1AFU4","platinum"
"KY3KK","5HHNH","gold"
"MROUD","IFM8T","other"
"R4RA7","RLMBV","platinum"
"Y69NJ","4KH26","gold"
"FLVLU","AHNFZ","gold"
"AYPQR","SPCHU","platinum"
"UJ72T","QZW8O","platinum"
"7YNOQ","9JS2W","silver"
"6ZAVC","2OXVY","gold"
"K3CH7","Y3X4S","gold"
"Q4DC3","GWL8D","silver"
"RYVTO","IPB84","platinum"
"1UU1K","1P7RJ","gold"
"ZUXSC","844DZ","platinum"
"OR2QF","1HDAE","platinum"
"G0CYF","I6VR2","platinum"
"V8F7D","SVVNR","silver"
"GVJVM","Z6843","platinum"
"RY8F1","E4HQ3","platinum"
"B53W6","O8884","other"
"I959G","WGVM2","gold"
"2A738","4J4SF","other"
"9QIWM","6Q6IM","gold"
"GOA1X","CTR4P","other"
"5L8TN","MXYN1","platinum"
"U57B0","WGJX9","other"
"3EF7R","NXYLL","other"
"Q8IWV","JCXBQ","other"
"UNU18","KNEDM","gold"
"673PZ","WZ4EF","gold"
"26XE6","PGP0N","platinum"
"2CCN5","MAOLA","other"
"983FG","9W1EX","other"
"SLN5V","A00WU","silver"
"FROSL","698H8","other"
"1UX03","PHTEQ","silver"
"GSYZV","IRA4T","gold"
"PR7K4","TFMQP","silver"
"WP531","SNG78","other"
"U3IM6","I0GY0","gold"
"FLMYH","P2U8S","other"
"5WMR1","4BBCP","silver"
"96CQ3","J34A9","silver"
"UE9F7","BT9IF","other"
"7NWMT","90VZM","platinum"
"VY7T6","R1KIL","platinum"
"IG4B3","RUZTL","gold"
"1RJU4","MI348","platinum"
"WN8CN","EDUUO","gold"
"FFYA5","4U82P","silver"
"H7VEG","GSGJ7","gold"
"TL33P","52PKP","platinum"
"9I4JG","IP3YX","other"
"7U5OD","6VGN3","gold"
"66TTC","3AJ5N","gold"
"JGZH0","6BL0W","silver"
"QKMMM","VDPRJ","silver"
"POZ0C","S26BB","silver"
"NDM2R","DMVOU","silver"
"WAVMQ","FJU7K","silver"
"AMS8H","BRVUI","gold"
"8AW5Z","GRZXK","gold"
"7FHJM","JSRBX","silver"
"7NWMT","V6LO3","platinum"
"G68X6","BEHEY","platinum"
"ZVPB9","FZ5OA","other"
"GG5P7","7XVMT","gold"
"M6L9X","FU4CK","silver"
"FAXVF","Y4JRY","platinum"
"5WMIK","DLRIZ","gold"
"9WYAI","2FDNK","silver"
"X852A","KMB49","other"
"QNSC4","W4E15","other"
"XBPB3","3ZIZ1","gold"
"X12KD","CSNDT","silver"
"D6HD3","VMPJR","other"
"W5P1F","ZL2QC","silver"
"2BYNP","DAWXD","silver"
"86ZYQ","QGRQU","other"
"0LK75","VOJ7T","gold"
"ZGRVB","R0QCV","platinum"
"KVGQU","F2H9V","platinum"
"15GQU","EVCRC","gold"
"CZ8BW","MMGIF","gold"
"T8H8R","4A8G0","other"
"A8RSS","FZO2C","other"
"XFUTX","T26DX","other"
"MDL6K","NFTRC","silver"
"2PVTH","V57KK","platinum"
"BLDW8","CZLQW","platinum"
"QVSJ4","78FMN","platinum"
"9YF14","I6NY7","other"
"86QBU","TPD5I","silver"
"FE2C3","0G8EU","platinum"
"QO8TL","OGCCT","other"
"ZZYOG","GBBHD","silver"
"EALTD","7XQGE","platinum"
"TUSFM","7DZ7I","gold"
"JK27P","XY9NJ","other"
"70IDG","356VD","platinum"
"UU8NP","PTUTJ","other"
"M8GXL","ULGQH","gold"
"PJNV0","9JDBL","gold"
"VZGAO","C2XCA","silver"
"DEAQN","YDKYR","gold"
"2GXF9","E3KP4","silver"
"C41E6","3HZLU","other"
"5C0AX","WXC4M","silver"
"PXS15","DQFS7","other"
"J8EJB","G97AB","other"
"48EA3","Z8KNC","gold"
"86C5Y","4OZXR","silver"
"YLLP9","6C3LX","gold"
"LXUHH","6CZ8H","silver"
"TYM3H","JLW7W","other"
"4524R","K3MCT","platinum"
"9UNIZ","JAON9","gold"
"B3LMA","347GF","other"
"SGHG5","LJMY9","platinum"
"6YKGA","33YWY","gold"
"1XH12","DUFGU","silver"
"PDRNO","LEXC1","platinum"
"AO8EP","WQ9L6","platinum"
"4YSHS","OO9M2","platinum"
"X5XQZ","0BH8E","silver"
"3EF7R","J3S2A","gold"
"263OE","NFCDG","gold"
"ZJJC7","3E2QG","silver"
"PI13O","IXYCA","silver"
"OWLD8","FTT71","other"
"TAIMK","106SR","silver"
"PLHBC","ATMUV","other"
"6LLPT","MOL09","silver"
"AV6BW","7BOX0","platinum"
"L5WSL","LI6MR","other"
"64DAB","51MFD","silver"
"ZBFFJ","A4ZSP","other"
"HZGY3","KOX9L","gold"
"81FOL","U98VY","other"
"5EAR8","3XBFE","other"
"6UY6K","RM749","other"
"LIA4Z","S7N1E","platinum"
"43EP8","ZUM3J","gold"
"7UPJJ","M8N3O","platinum"
"JYL09","1FOL3","gold"
"KXIUV","DPW30","other"
"M3NXI","T425M","silver"
"3WX3K","8KNLR","gold"
"5NSQM","419G0","silver"
"8OS5F","ZDBQ6","silver"
"VWT7P","T3WV9","other"
"NR2NQ","ZFLJP","gold"
"5JK7S","7TPE4","other"
"W49RC","SKB58","gold"
"6GQ39","TO4XZ","silver"
"FX406","CAXHL","silver"
"98C0U","QC00A","gold"
"AFHJG","Z7DWO","silver"
"SS80T","7ISAX","silver"
"LVD0D","3LHR7","platinum"
"THU86","4TBH9","platinum"
"EV1F3","0DYWE","silver"
"M7K4P","97WJZ","other"
"88DDP","B3Q4P","silver"
"YDLOR","86J19","platinum"
"SHO6W","0MXUS","other"
"WSF9A","9P1UD","platinum"
"6OD70","0E5TL","gold"
"0TX2A","CFAIE","other"
"GV5IY","SJR55","other"
"DE63D","WVW6K","other"
"1ZAYY","64U4E","gold"
"N30O4","EWRKM","other"
"M99NP","Y8AMU","platinum"
"KC47K","DFZ7C","silver"
"4V8US","KFS92","gold"
"6Z0GW","GKANT","gold"
"1ZQ4B","KWPCZ","other"
"I3H6T","Y77GD","other"
"ORIBA","FWO1R","gold"
"9HWOZ","IYN2J","silver"
"31CW1","CBEO6","gold"
"4TGBC","DVGVR","silver"
"NQRUI","B9QV6","silver"
"N108C","G3YJ7","silver"
"HC70C","5ZNKV","other"
"Q750C","FLPUO","gold"
"3LHR7","H6GAU","other"
"46NUM","JK5HV","gold"
"9QS6T","O6DCL","gold"
"56GWG","5KKGI","gold"
"WIWT3","BSTNM","gold"
"M2VYM","FH0EK","platinum"
"4B0UN","9EPJL","silver"
"PHL3A","WMBU1","silver"
"DH3NX","32YEF","platinum"
"OPKGH","HPD7H","gold"
"0HRXO","GW4Y4","platinum"
"G7EAL","CZ2NT","other"
"02A3A","63XCY","platinum"
"4S16J","R6KY1","silver"
"GV9QF","GSRO0","silver"
"ZBVGA","34P5L","other"
"LIGLT","3VJ8H","silver"
"T270N","RKVP2","other"
"DN7KL","QGSVB","gold"
"QANFW","B4VDZ","gold"
"VGWCE","EFSVD","silver"
"MV9P9","8DUPY","platinum"
"141IG","98DRE","silver"
"0IXUU","E3PVP","other"
"XSH6I","ZRHU3","silver"
"5RWR4","9PB1Q","other"
"8IV2X","QP4AR","silver"
"OR6CA","LUJ0U","platinum"
"99OKS","504DR","platinum"
"YMYJO","TKTI7","platinum"
"0DVG0","A9APC","other"
"KBEZ2","C016N","gold"
"TYQPS","2PRBV","silver"
"5OTOB","PV5LF","gold"
"AZCO1","T6N32","platinum"
"W3PVO","TLH02","other"
"COYUL","HTIEM","silver"
"FS1M8","CQI2M","platinum"
"A55V3","UM5TZ","other"
"9BC05","FDQA2","platinum"
"R1LFM","3PXT5","platinum"
"DHZYT","FDCVN","gold"
"LMM8X","05DFA","silver"
"86BEC","XFGVW","gold"
"X26SO","NP1JC","silver"
"QXKB3","2F16B","other"
"8KXXU","LOUCX","gold"
"50QB5","89X6Q","gold"
"45C63","39QES","gold"
"W8MC2","3AE1K","gold"
"I4AI8","V349Q","platinum"
"7GDY3","CIXEW","platinum"
"IST2L","TLGUK","platinum"
"L7WGV","JQ3S3","other"
"SS46Z","0ZMFF","platinum"
"H7MWL","BYQPU","other"
"3C0M7","AUVNB","other"
"9E0GT","BB7NN","gold"
"QHF08","Y4SDH","other"
"GPBCG","CKH77","other"
"WPR7E","CYWWY","silver"
"JEQAF","P4PS8","other"
"3N5AI","THPLZ","gold"
"6216P","SNHG0","gold"
"QA9T9","L4RVV","other"
"NZJDU","UJ6VL","gold"
"4B52S","4SGJZ","platinum"
"P3CPN","7IAK6","silver"
"3TSXM","8YZ8T","other"
"ZH4NE","3U4ON","platinum"
"J1LPC","6AXOR","platinum"
"JM9V9","YKJ0X","other"
"JGZMO","1MLSY","other"
"8JODX","82LVY","other"
"7ZCBS","XA982","silver"
"N7TIV","WRFFI","silver"
"EFZ7K","RVIZL","gold"
"JJPIH","K3PFW","platinum"
"OD5ZM","M4YDB","gold"
"DBJGY","CL397","other"
"GI1FG","LOJRU","platinum"
"5RWR4","KGAOR","platinum"
"YXWCH","0KRSQ","silver"
"YOTGZ","C65GB","silver"
"JCYTW","H2C8X","platinum"
"IYBNO","K5JAM","platinum"
"XII4V","N0IW9","gold"
"PWGBB","13EHH","gold"
"L9DQX","C2PR5","platinum"
"CHMD9","LH14Y","other"
"8GCEL","H0SQD","platinum"
"XV9E8","SU2R2","gold"
"MAO7O","SFRD6","platinum"
"QW5S3","AY2NX","silver"
"QPTSS","BEXD5","other"
"WLABD","BEGV7","gold"
"RULC6","ZWROA","other"
"H2FXX","AXDE0","gold"
"IC674","7LK22","platinum"
"THOFT","E4WQ1","other"
"9U4Q8","4U59C","silver"
"U43QW","7X2H8","platinum"
"EKP5V","6GO7Z","silver"
"74H9D","UGN5G","silver"
"4TEZZ","PHVYP","other"
"16FEH","AWAY8","gold"
"KXLWS","KPBNH","gold"
"HIBFV","VTFYL","gold"
"VXJFN","P0VUS","platinum"
"9LBL7","YH9T4","gold"
"XG1PB","LU8J6","platinum"
"D5XEQ","5KX7P","silver"
"7R4RD","FXVI7","silver"
"QSS2X","VYMF0","silver"
"FV59O","0LDNC","platinum"
"4WM8Y","D7WXC","platinum"
"S0U6R","6RA4U","platinum"
"VR6OW","WB64A","silver"
"A3YY2","NKBLT","silver"
"KF1M5","L03FZ","platinum"
"STEUB","9OUY7","platinum"
"MJDP9","SX3H7","silver"
"3S4UT","QWNUB","other"
"GSHVM","W6NKU","other"
"OQH2R","5VMBD","platinum"
"3WX3K","YZHGL","silver"
"OXGE5","KEAY1","platinum"
"G0ZMH","X8AEA","platinum"
"ME6NS","G30NN","other"
"79CF6","D9LRC","gold"
"N53AK","3V57S","gold"
"TGZGW","R2XN3","other"
"2RZAQ","F6LAF","gold"
"TSC1W","6N9LU","gold"
"SMIJI","PFVZI","silver"
"HB6HJ","SXABC","gold"
"045RD","9PGKK","platinum"
"X0MBW","4YYJN","silver"
"DTR93","F6HLG","other"
"4FY20","A05K3","silver"
"TGCQG","KEF2V","silver"
"327KM","PPW1D","other"
"07OKK","FK01L","other"
"AUYX3","KGJ1R","gold"
"TLFZ2","546GB","other"
"NT5YH","LPZ2O","platinum"
"5FTBL","ZSUI3","platinum"
"JGZMO","L9ME8","platinum"
"DSFUG","5TOIR","other"
"BU5J7","QY4GF","gold"
"71TIS","W9VD1","platinum"
"A6E9B","MABPD","other"
"60CQW","YOMBI","gold"
"SVHQ9","ZS7EB","gold"
"RYRLP","SPJ7U","platinum"
"Z9TT1","IOOVT","silver"
"1ICFS","H9YAG","silver"
"0GJJA","NYKMR","silver"
"6ZAVC","RROV6","silver"
"XG7KV","E2BO3","platinum"
"RF400","KX93L","gold"
"SUU2G","5S8LR","platinum"
"53UTA","M26CC","silver"
"3ZNRZ","RYZMH","gold"
"9RUBB","KG6E5","other"
"H6NR8","FRIT8","gold"
"JSDNR","REKP4","platinum"
"MKVQ4","WBV2O","other"
"BWNP9","B9PDP","other"
"BG6J1","3MNXT","other"
"VOXMZ","2AA6O","other"
"MP7WL","AK8DK","silver"
"DSQOM","E0917","other"
"5N1UB","E5OJD","silver"
"OZ28R","FYDZC","other"
"PSECM","E1CBQ","gold"
"S139L","Z0CGK","other"
"GB2DV","E3CZX","gold"
"BJOXQ","MJOR6","gold"
"BYVVF","ADUBB","other"
"PACJ0","HHOOC","gold"
"54GO4","UDZST","other"
"3NAUX","BMK8A","other"
"QIYWU","7UYYB","gold"
"PMWNT","0ANJC","silver"
"QMGD0","6ROML","other"
"J5IXK","WC66J","gold"
"U6W9R","KIIZ7","other"
"O2G6U","0LIU0","gold"
"D9CCM","KHDK0","other"
"7RGPH","Z54OG","gold"
"0AX8A","KZYM3","silver"
"TZKS4","N7DYY","other"
"3WSNL","U9GY6","gold"
"SC9P7","JFE1C","platinum"
"VG9L3","BINSD","silver"
"GUQ28","SKG2H","platinum"
"P3RNI","G4XY7","gold"
"SR7NS","IGGWS","other"
"TI3XK","QYOYM","gold"
"SRGUH","GXOM9","platinum"
"OFNJQ","QE9NC","other"
"4JYAU","0CCZL","gold"
"DHW8F","ZPUZ5","silver"
"YZFWK","974M1","silver"
"SWX4P","OBRDP","gold"
"YZVS6","AWABG","other"
"4RFEL","RRMA6","gold"
"FRLAG","1LZ2R","gold"
"LMI12","YLA7I","other"
"S519U","S7RUH","other"
"G6XY1","34RQW","silver"
"W2VY6","W5T6R","platinum"
"UY1XI","JEQ6H","platinum"
"EKSU4","N1RRV","other"
"POEEF","M66LN","silver"
"IJF4T","DG9B3","silver"
"IIPUM","3ISTZ","gold"
"NZW1Q","2F3L6","other"
"67D42","DWU57","silver"
"D1QIO","8Q6IU","other"
"91PWF","6QKOQ","other"
"K3Z3M","48FU8","platinum"
"3FESP","AM9HB","silver"
"TMNI9","94EDJ","other"
"U50XY","L0VHV","silver"
"KSLDQ","AT4ZQ","other"
"VTVGH","FQXDS","gold"
"76LAT","8AOOO","silver"
"1FHXR","0CZDU","other"
"XK5JB","IDIVW","gold"
"CEYPE","66G6G","platinum"
"IX6E4","PJ7Y0","platinum"
"KHM5C","VSR59","gold"
"SVHQ9","WKK1K","platinum"
"GQDHJ","EVUZT","platinum"
"R6UNP","QYBF8","gold"
"2BG52","ZI6S0","gold"
"QSNPB","KULV4","other"
"W721P","FFKHG","gold"
"CTCOZ","ZGGH6","silver"
"RUZMY","6LVX9","silver"
"S4QF4","GAV89","platinum"
"SNMT1","5GHQS","silver"
"2A0CU","VBMMK","platinum"
"KY86H","VFQ4V","platinum"
"C8LVX","LULKP","platinum"
"D7O6L","J1ID3","platinum"
"LTJXN","9YIN9","other"
"1I880","83UNI","platinum"
"2X4ZK","ERU2W","silver"
"5GL41","GDHPF","gold"
"H3EBW","4XVPF","other"
"OW0EP","O3NAK","platinum"
"17TPD","BM6TL","silver"
"BMX1A","2M9OX","gold"
"35W0D","SFESG","silver"
"147HH","AB3D4","gold"
"AQ5BN","9QIUN","gold"
"HFNN6","ENQ9T","platinum"
"6FME6","8J8K3","platinum"
"CV467","0HADM","silver"
"MC5WH","C4DMZ","other"
"99RH5","F8QCB","other"
"HHK85","AFI9V","platinum"
"OKSCF","N4EXA","other"
"XNZMA","23MYO","platinum"
"A6GK8","HKRCF","platinum"
"I4C95","B4M9T","other"
"RCBHZ","4T8OZ","gold"
"NBW4Z","C047B","silver"
"KXJIW","O5X0G","gold"
"PKR80","K8ZN7","platinum"
"F416V","93F45","silver"
"8291J","A5QGI","platinum"
"UM9XB","E43ST","gold"
"KB771","YMCG9","platinum"
"QIFKY","POEEF","silver"
"R1HRI","8YRKF","other"
"PSYCJ","6BANM","silver"
"7J74H","U4NHK","platinum"
"16QOC","MQHFE","gold"
"TAIMK","MYMHH","gold"
"HXX19","ZJGOW","silver"
"NV7EC","8YBEL","other"
"KCQ1C","25GUJ","gold"
"ILIDG","6B5WP","gold"
"HINC2","NWLW3","other"
"9BXR3","PWELF","other"
"KKM8N","BUPUP","gold"
"I7YGL","R49SU","gold"
"YNSB8","C9MRR","silver"
"P4G1K","EMAVM","gold"
"TRTB1","1U5NF","platinum"
"ZN492","9RI8N","other"
"KGXWS","5R4I1","other"
"L71JQ","3CPJ6","other"
"8K2M9","Z7M6Z","platinum"
"L9V2I","VKAYK","platinum"
"W67S7","R8FS9","gold"
"A0XZQ","43QY1","platinum"
"JO3QD","O1NSD","gold"
"6QXTK","XIQKM","silver"
"6DAUK","V00RL","silver"
"4R41B","EHWM5","other"
"T352D","MVF9I","silver"
"D2QH3","3XACN","other"
"0W9O3","6NG23","platinum"
"ENDDF","O2SV3","gold"
"O0LXE","0HMGG","gold"
"IAMSY","0KD2B","other"
"BMDTN","W0UFZ","silver"
"PUJOY","4V56W","platinum"
"C0YJ7","WRFUN","platinum"
"PGXKC","67FRN","gold"
"ERP4W","D2TMO","silver"
"FBIMT","3M4G1","silver"
"NAIIX","SL6IR","silver"
"X731M","F8QE0","silver"
"CWHEN","FODFC","silver"
"DWP80","321W1","platinum"
"HIZRF","X1CPC","platinum"
"NBJ49","IINGM","other"
"I0QQ6","NPEOG","platinum"
"KE735","2CEXL","silver"
"YTBJN","19GZG","silver"
"FR1HT","HUX31","silver"
"KC3FH","QC36C","platinum"
"ZSBPW","5V44Z","platinum"
"W2O28","3YSXK","platinum"
"PGUTP","ODLRO","other"
"4OP9Q","JCVK0","platinum"
"VC80X","QLQGD","platinum"
"XXUZ0","HLXUW","gold"
"LQH77","J4V9P","other"
"ACFJ8","0WZVL","gold"
"SXPWS","MHMHN","gold"
"XFD5U","B8Q81","gold"
"4HAHJ","5EG0A","silver"
"ZIE9T","3KHSM","other"
"SOYI8","9EC91","other"
"APZ6T","OSEYJ","silver"
"1ZATN","T7KRV","platinum"
"AA20N","KWMBY","silver"
"Z4HME","Q0QAB","silver"
"O8DYQ","K5SKW","silver"
"HWFH1","FTHRV","platinum"
"BM3E7","4J6GL","platinum"
"ZOXSK","BWOQ1","silver"
"ZRFPG","8KMKQ","platinum"
"9F8SV","MX47G","platinum"
"WNJEA","KQVQ0","platinum"
"GY0E9","XVXF7","other"
"RQUO5","Z49CD","other"
"O771C","6RONZ","platinum"
"B95CA","9WK7X","platinum"
"MX2N2","ANAF8","gold"
"CHFWY","F2HV5","other"
"TEN54","3U3ZL","platinum"
"Q7TEU","PKGG6","gold"
"6ZJ2S","9A0R2","platinum"
"LO3NA","5MJ0V","silver"
"RLYAQ","YOR2K","other"
"91H0I","KPS7M","other"
"MNNYK","3BFAF","platinum"
"JUYN3","ANWHC","other"
"ZGMMZ","JHKFI","gold"
"0ULED","SUHIR","platinum"
"1GNZT","68WSV","other"
"NAOSI","3M8HA","platinum"
"JIZKG","VO9HI","silver"
"S5N9W","45M4U","gold"
"II750","P2YN0","gold"
"4JDUX","JWKHX","gold"
"CMPV7","UIUS6","platinum"
"5W9NE","S0A5A","silver"
"W55QN","8IYZ1","gold"
"UK78H","ESAZF","gold"
"L4PLD","8LJPY","silver"
"UY1XI","T0R04","platinum"
"UEXL6","6XRU8","other"
"TQXJ6","422GJ","silver"
"EGT3R","NOJ7Y","gold"
"I4L8W","05YG3","silver"
"RB0V5","F08SW","gold"
"QCGTB","B4PU2","silver"
"J4IVC","21H87","platinum"
"11WU4","IU1CP","other"
"4IOM2","YOO6B","other"
"HZUHR","ZM2B5","silver"
"LGNWF","5KWPI","other"
"WG2TX","56PJT","gold"
"0DRAB","UJXH0","gold"
"CWOBE","GX170","platinum"
"8BUS8","BRB90","platinum"
"AEW7U","RUBBU","other"
"UNNR2","DBO2I","gold"
"IWOX0","X9N5O","platinum"
"P5GRT","WC9F2","silver"
"TG498","1QSMK","silver"
"R912K","42P44","platinum"
"PDHIF","0SOTV","gold"
"CEKOZ","S39KF","other"
"D5A3B","4N2BL","other"
"K0JY7","9XW66","platinum"
"YJ2HT","0OOS6","gold"
"QEVFO","BAHYU","silver"
"7JZB1","QDIXQ","platinum"
"O471G","MQT5B","other"
"1ND3Q","MXHLC","gold"
"AKM2L","ND59F","platinum"
"1Q1S6","EKPXK","silver"
"4N88L","Q9MID","platinum"
"BTLOI","8S9QL","gold"
"KS4UU","ZWD8I","silver"
"DE5NM","KIP1Z","gold"
"GAVEY","KEV4C","silver"
"QW9NQ","Z1HSC","platinum"
"II56A","52PH7","platinum"
"2YNBM","8PL63","other"
"RU8L8","9G0BB","gold"
"9E0GT","W0RNX","silver"
"0WZ23","MTBOK","platinum"
"WQKKO","4NPJE","silver"
"KNMHS","FJ5KJ","other"
"0YHDE","6FWZI","silver"
"Z2N7M","ACRDB","gold"
"1781O","RA58A","silver"
"IO7DH","7CBG0","platinum"
"BRC6O","VPF9R","platinum"
"LR1CW","GE8ZS","other"
"3ZUI3","AZFS0","platinum"
"PCTT5","XKLSI","silver"
"LK62L","C4EYZ","gold"
"5980E","69LA7","gold"
"ZART8","6K1V5","gold"
"T9D8D","A3FNT","platinum"
"CWVT6","LLUIU","platinum"
"IPKWV","JSME7","platinum"
"1EIHU","8GU78","silver"
"V34JF","1RH32","other"
"UQRBM","VVIZH","silver"
"KSJYC","5F1WB","gold"
"H9THU","EH2QX","silver"
"QZU3V","UQHHV","silver"
"0UQ1W","CSR0J","silver"
"7XGNJ","78XBW","other"
"G8W64","QBPXV","gold"
"N6693","5NA0Q","silver"
"HKYKY","P97FG","gold"
"4TB3U","46YCO","platinum"
"6UPG9","7LC9V","silver"
"Z85FL","V3A6S","other"
"VV7PT","7VXY8","other"
"NH2J4","2ES41","gold"
"ZQCVT","1L57O","gold"
"D42NK","OZ384","platinum"
"FPS6O","EYFQ7","other"
"JC2RH","4R9MC","other"
"BGIZ9","73PZT","platinum"
"7P27B","EV30C","other"
"AQ5XA","MZW4R","platinum"
"6CECR","IEHW5","silver"
"Q6BRQ","FN30C","platinum"
"B1WSU","RTR99","platinum"
"DBOWD","TDFWK","platinum"
"ZG90B","GT77J","other"
"GL6X6","6U2S6","silver"
"08QJP","ETH5D","platinum"
"QJ9A3","LLC6R","gold"
"1R9PB","E3OWZ","other"
"JRI1D","I5OF7","other"
"L6OFL","MP7MW","platinum"
"TLO0G","72TC8","gold"
"VGVF8","4JAOY","other"
"BADTV","BELCK","gold"
"CTRTQ","QZGXF","other"
"K6LLC","KUBCP","silver"
"44W7D","VZGST","gold"
"78ETI","SPDE8","silver"
"91EHE","IJ6U4","other"
"9SZGJ","XI6N7","platinum"
"A4NV9","80EDB","other"
"LR1CW","RIRXU","other"
"8ETS8","NBQTL","platinum"
"4UBFY","38XN1","silver"
"QY4TX","TPPRZ","other"
"JK27P","Y0WXF","silver"
"HXAHR","QJAK6","silver"
"B8LZY","1NWBN","gold"
"F4D56","LYZ6L","gold"
"OIUC2","NFYO2","silver"
"2P0XK","P68IX","other"
"RWSC7","N9R01","other"
"RTM7H","RZ365","other"
"7538U","2VZY5","platinum"
"8PPHV","MGWI1","platinum"
"MFORO","6N8D1","other"
"CSX6H","CBIZI","other"
"196SK","EAWIU","silver"
"KH4M7","NQCU8","silver"
"23NVZ","NJN3W","other"
"ANXVB","IJG9B","silver"
"HCI0V","QROX8","other"
"9FMBF","7X9VL","silver"
"BR51U","JI12Z","silver"
"897MX","995M1","platinum"
"URS2V","ZHEWU","other"
"N95A9","XUCMB","platinum"
"MJJGA","YU5MK","other"
"FUFUY","CEGBD","gold"
"6PRYV","R7ZGV","platinum"
"H3O1O","ND8K7","silver"
"SZXPO","RGUV6","gold"
"A0D5X","01X8C","other"
"7HH8R","FM0JP","other"
"6133T","WDX3G","platinum"
"IM0BT","JNWCA","platinum"
"OH4VG","DEZWR","gold"
"S519U","SOVHT","platinum"
"TWIK7","NG8O0","silver"
"DG8FT","IZUGD","gold"
"FF24X","RY9K9","platinum"
"7KQD7","65NI8","other"
"QBKZF","T739U","other"
"EGFV5","GCBVD","silver"
"0WE3H","T2ROV","silver"
"276G6","2QW6Y","silver"
"01FY0","T1VFH","platinum"
"0WAJU","YLABQ","other"
"AH464","4OYAQ","other"
"UJR6J","07FD3","platinum"
"AL5QS","OFLRE","gold"
"E40A3","E1I0W","gold"
"DZE3J","J6PK0","other"
"NXNWJ","JB6GB","platinum"
"8E6QR","0B1M7","platinum"
